Clave,Entidad federativa,Código,Nivel de escolaridad,Total
22,Querétaro,4,Preparatoria,  652
22,Querétaro,5,Carrera técnica o carrera comercial,  52
22,Querétaro,6,Licenciatura,  334
22,Querétaro,7,Maestría,  35
22,Querétaro,8,Doctorado,  0
23,Quintana Roo,0,Total, 2 304
23,Quintana Roo,1,Ninguno,  0
23,Quintana Roo,2,Preescolar o primaria,  26
23,Quintana Roo,3,Secundaria,  254
23,Quintana Roo,4,Preparatoria,  876
23,Quintana Roo,5,Carrera técnica o carrera comercial,  656
23,Quintana Roo,6,Licenciatura,  223
23,Quintana Roo,7,Maestría,  261
23,Quintana Roo,8,Doctorado,  8
24,San Luis Potosí,0,Total, 3 632
24,San Luis Potosí,1,Ninguno,  25
24,San Luis Potosí,2,Preescolar o primaria,  4
24,San Luis Potosí,3,Secundaria,  78
24,San Luis Potosí,4,Preparatoria, 2 580
24,San Luis Potosí,5,Carrera técnica o carrera comercial,  53
24,San Luis Potosí,6,Licenciatura,  875
24,San Luis Potosí,7,Maestría,  17
24,San Luis Potosí,8,Doctorado,  0
25,Sinaloa,0,Total, 1 811
25,Sinaloa,1,Ninguno,  0
25,Sinaloa,2,Preescolar o primaria,  8
25,Sinaloa,3,Secundaria,  625
25,Sinaloa,4,Preparatoria,  671
25,Sinaloa,5,Carrera técnica o carrera comercial,  57
25,Sinaloa,6,Licenciatura,  434
25,Sinaloa,7,Maestría,  16
25,Sinaloa,8,Doctorado,  0
26,Sonora,0,Total, 1 792
26,Sonora,1,Ninguno,  62
26,Sonora,2,Preescolar o primaria,  16
26,Sonora,3,Secundaria,  43
26,Sonora,4,Preparatoria,  897
26,Sonora,5,Carrera técnica o carrera comercial,  105
26,Sonora,6,Licenciatura,  641
26,Sonora,7,Maestría,  28
26,Sonora,8,Doctorado,  0
27,Tabasco,0,Total, 7 549
27,Tabasco,1,Ninguno,  0
27,Tabasco,2,Preescolar o primaria,  210
27,Tabasco,3,Secundaria, 1 277
27,Tabasco,4,Preparatoria, 5 907
27,Tabasco,5,Carrera técnica o carrera comercial,  0
27,Tabasco,6,Licenciatura,  155
27,Tabasco,7,Maestría,  0
27,Tabasco,8,Doctorado,  0
28,Tamaulipas,0,Total, 4 684
28,Tamaulipas,1,Ninguno,  343
28,Tamaulipas,2,Preescolar o primaria,  36
28,Tamaulipas,3,Secundaria,  833
28,Tamaulipas,4,Preparatoria,  0
28,Tamaulipas,5,Carrera técnica o carrera comercial, 2 705
28,Tamaulipas,6,Licenciatura,  740
28,Tamaulipas,7,Maestría,  26
28,Tamaulipas,8,Doctorado,  1
29,Tlaxcala,0,Total, 1 890
29,Tlaxcala,1,Ninguno,  0
29,Tlaxcala,2,Preescolar o primaria,  2
29,Tlaxcala,3,Secundaria,  125
29,Tlaxcala,4,Preparatoria, 1 381
29,Tlaxcala,5,Carrera técnica o carrera comercial,  44
29,Tlaxcala,6,Licenciatura,  327
29,Tlaxcala,7,Maestría,  11
29,Tlaxcala,8,Doctorado,  0
30,Veracruz de Ignacio de la Llave2,0,Total, 13 683
30,Veracruz de Ignacio de la Llave2,1,Ninguno,  10
30,Veracruz de Ignacio de la Llave2,2,Preescolar o primaria,  74
30,Veracruz de Ignacio de la Llave2,3,Secundaria, 2 090
30,Veracruz de Ignacio de la Llave2,4,Preparatoria, 7 423
30,Veracruz de Ignacio de la Llave2,5,Carrera técnica o carrera comercial,  390
30,Veracruz de Ignacio de la Llave2,6,Licenciatura, 3 447
30,Veracruz de Ignacio de la Llave2,7,Maestría,  230
30,Veracruz de Ignacio de la Llave2,8,Doctorado,  19
31,Yucatán,0,Total, 5 364
31,Yucatán,1,Ninguno,  0
31,Yucatán,2,Preescolar o primaria,  150
31,Yucatán,3,Secundaria, 1 324
31,Yucatán,4,Preparatoria, 2 569
31,Yucatán,5,Carrera técnica o carrera comercial,  447
31,Yucatán,6,Licenciatura,  845
31,Yucatán,7,Maestría,  29
31,Yucatán,8,Doctorado,  0
32,Zacatecas,0,Total, 2 738
32,Zacatecas,1,Ninguno,  0
32,Zacatecas,2,Preescolar o primaria,  34
32,Zacatecas,3,Secundaria,  429
32,Zacatecas,4,Preparatoria, 1 235
32,Zacatecas,5,Carrera técnica o carrera comercial,  268
32,Zacatecas,6,Licenciatura,  719
32,Zacatecas,7,Maestría,  47
32,Zacatecas,8,Doctorado,  6
